classe,alto_potencial,potencial_cargo,CD_setor,NM_BAIRRO,quantidade_oportunidade,tamanho_oportunidade,alta_oportunidade,Valor,Classe_Quartil,latlon,lat,lon,cep,oportunidade
Sub-ideal,False,,410150705000222,,3,ALTA,True,0.5637025562567731,3,"(-23.416065, -51.417690)",-23.41606534999997,-51.41768974297584,,3
Sub-ideal,False,,410150705000224,,3,ALTA,True,0.5700000000000001,3,"(-23.429547, -51.417022)",-23.429546749999957,-51.41702157973987,,3
Sub-ideal,False,,410150705000225,,3,ALTA,True,0.5928323371407709,4,"(-23.429547, -51.421375)",-23.429546749999957,-51.42137456152243,,3
Sub-ideal,False,,410150705000226,,3,ALTA,True,0.5940773713353689,4,"(-23.434842, -51.441927)",-23.434841699999964,-51.44192686764442,,3
Sub-ideal,False,,410150705000227,,3,ALTA,True,0.593569058844072,4,"(-23.433685, -51.439384)",-23.43368529999998,-51.43938445834624,,3
Sub-ideal,False,,410150705000232,,3,ALTA,True,0.5918845656016443,4,"(-23.441065, -51.430697)",-23.441065149999957,-51.430696625523424,,3
Sub-ideal,False,,410150705000233,,3,ALTA,True,0.5623396442914516,3,"(-23.440935, -51.418459)",-23.44093509999996,-51.41845918795461,,3
Sub-ideal,False,,410150705000239,,3,ALTA,True,0.5778329452262834,3,"(-23.421050, -51.520153)",-23.421050299999933,-51.52015311442802,,3
Sub-ideal,False,,410150705000240,,3,ALTA,True,0.5794879518072289,4,"(-23.460349, -51.475301)",-23.460349099999945,-51.47530085658806,,3
Sub-ideal,False,,410150705000241,,3,ALTA,True,0.5974959944306844,4,"(-23.466431, -51.430899)",-23.466430749999972,-51.43089943180682,,3
